#
# Character table extracted from font
#
0x000	U+25c0
0x130	U+03bf
0x131	U+03c1
0x132	U+03c2
0x133	U+03c5
0x134	U+03c7
0x135	U+03c8
0x136	U+03c9
0x137	U+03ca
0x138	U+03cb
0x139	U+03cc
0x13a	U+03cd
0x13b	U+03ce
0x13c	U+03f3
0x13d	U+03f4
0x13e	U+2013
0x13f	U+2014
0x140	U+2015
0x141	U+2018
0x142	U+2019
0x143	U+201a
0x144	U+201c
0x145	U+201d
0x146	U+201e
0x147	U+2020
0x148	U+2021
0x149	U+2026
0x14a	U+2030
0x14b	U+2039
0x14c	U+203a
0x14d	U+20ac
0x14e	U+2122
0x14f	U+2260
0x150	U+2116
0x151	U+00d7
0x152	U+00c1
0x153	U+00cd
0x154	U+00d3
0x155	U+00da
0x156	U+00c0
0x157	U+00c2
0x158	U+00c8
0x159	U+00ca
0x15a	U+00cb
0x15b	U+00ce
0x15c	U+00cf
0x15d	U+00d4
0x15e	U+0152
0x15f	U+0153
0x160	U+00d9
0x161	U+00db
0x162	U+0178
0x163	U+20ae
0x164	U+00b9
0x165	U+00be
0x166	U+2208
0x167	U+2205
0x168	U+2016
0x169	U+2017
0x16a	U+2032
0x16b	U+2033
0x16c	U+2126
0x16d	U+21b5
0x16e	U+21d0
0x16f	U+21d1
0x170	U+21d2
0x171	U+21d3
0x172	U+21d4
0x173	U+21d5
0x174	U+2206
0x175	U+2212
0x176	U+2227
0x177	U+2228
0x178	U+222a
0x179	U+2302
0x17a	U+25c6
0x17b	U+25ca
0x17c	U+23ba
0x17d	U+23bb
0x17e	U+23bc
0x17f	U+23bd
0x180	U+2409
0x181	U+240a
0x182	U+240b
0x183	U+240c
0x184	U+240d
0x185	U+2424
0x186	U+25ae
0x187	
0x188	
0x189	
0x18a	
0x18b	
0x18c	
0x18d	
0x18e	
0x18f	
0x190	
0x191	
0x192	
0x193	
0x194	
0x195	
0x196	
0x197	
0x198	
0x199	
0x19a	
0x19b	
0x19c	
0x19d	
0x19e	
0x19f	
0x1a0	
0x1a1	
0x1a2	
0x1a3	
0x1a4	
0x1a5	
0x1a6	
0x1a7	
0x1a8	
0x1a9	
0x1aa	
0x1ab	
0x1ac	
0x1ad	
0x1ae	
0x1af	
0x1b0	
0x1b1	
0x1b2	
0x1b3	
0x1b4	
0x1b5	
0x1b6	
0x1b7	
0x1b8	
0x1b9	
0x1ba	
0x1bb	
0x1bc	
0x1bd	
0x1be	
0x1bf	
0x1c0	
0x1c1	
0x1c2	
0x1c3	
0x1c4	
0x1c5	
0x1c6	
0x1c7	
0x1c8	
0x1c9	
0x1ca	
0x1cb	
0x1cc	
0x1cd	
0x1ce	
0x1cf	
0x1d0	
0x1d1	
0x1d2	
0x1d3	
0x1d4	
0x1d5	
0x1d6	
0x1d7	
0x1d8	
0x1d9	
0x1da	
0x1db	
0x1dc	
0x1dd	
0x1de	
0x1df	
0x1e0	
0x1e1	
0x1e2	
0x1e3	
0x1e4	
0x1e5	
0x1e6	
0x1e7	
0x1e8	
0x1e9	
0x1ea	
0x1eb	
0x1ec	
0x1ed	
0x1ee	
0x1ef	
0x1f0	
0x1f1	
0x1f2	
0x1f3	
0x1f4	
0x1f5	
0x1f6	
0x1f7	
0x1f8	
0x1f9	
0x1fa	
0x1fb	
0x1fc	
0x1fd	
0x1fe	
0x1ff	
