#
# Character table extracted from font
#
0x000	U+25c0
0x134	U+044d
0x135	U+044e
0x136	U+044f
0x137	U+0451
0x138	U+0456
0x139	U+0458
0x13a	U+045e
0x13b	U+045f
0x13c	U+0492
0x13d	U+0493
0x13e	U+0494
0x13f	U+0495
0x140	U+0496
0x141	U+0497
0x142	U+0498
0x143	U+0499
0x144	U+049a
0x145	U+049b
0x146	U+049c
0x147	U+049d
0x148	U+04a0
0x149	U+04a1
0x14a	U+04a2
0x14b	U+04a3
0x14c	U+04a4
0x14d	U+04a5
0x14e	U+04aa
0x14f	U+04ab
0x150	U+04ae
0x151	U+04af
0x152	U+04b0
0x153	U+04b1
0x154	U+04b2
0x155	U+04b3
0x156	U+04b6
0x157	U+04b7
0x158	U+04b8
0x159	U+04b9
0x15a	U+04ba
0x15b	U+04bb
0x15c	U+04d2
0x15d	U+04d3
0x15e	U+04d6
0x15f	U+04d7
0x160	U+04d8
0x161	U+04d9
0x162	U+04e2
0x163	U+04e3
0x164	U+04e6
0x165	U+04e7
0x166	U+04e8
0x167	U+04e9
0x168	U+04ee
0x169	U+04ef
0x16a	U+04f0
0x16b	U+04f1
0x16c	U+04f2
0x16d	U+04f3
0x16e	U+04f8
0x16f	U+04f9
0x170	U+2013
0x171	U+2014
0x172	U+2018
0x173	U+2019
0x174	U+201c
0x175	U+201d
0x176	U+201e
0x177	U+2026
0x178	U+20ac
0x179	U+20ae
0x17a	U+2116
0x17b	U+2122
0x17c	U+2260
0x17d	U+2020
0x17e	U+2021
0x17f	U+00d7
0x180	U+2030
0x181	U+00c1
0x182	U+00cd
0x183	U+00d3
0x184	U+00da
0x185	U+00c0
0x186	U+00c2
0x187	U+00c8
0x188	U+00ca
0x189	U+00cb
0x18a	U+00ce
0x18b	U+00cf
0x18c	U+00d4
0x18d	U+0152
0x18e	U+0153
0x18f	U+00d9
0x190	U+00db
0x191	U+0178
0x192	U+00a4
0x193	U+201a
0x194	U+2039
0x195	U+203a
0x196	U+00a6
0x197	U+00b9
0x198	U+00b3
0x199	U+00be
0x19a	U+2208
0x19b	U+2205
0x19c	U+2015
0x19d	U+2016
0x19e	U+2017
0x19f	U+2032
0x1a0	U+2033
0x1a1	U+2126
0x1a2	U+21b5
0x1a3	U+21d0
0x1a4	U+21d1
0x1a5	U+21d2
0x1a6	U+21d3
0x1a7	U+21d4
0x1a8	U+21d5
0x1a9	U+2206
0x1aa	U+2212
0x1ab	U+2227
0x1ac	U+2228
0x1ad	U+222a
0x1ae	U+2302
0x1af	U+25c6
0x1b0	U+25ca
0x1b1	U+23ba
0x1b2	U+23bb
0x1b3	U+23bc
0x1b4	U+23bd
0x1b5	U+2409
0x1b6	U+240a
0x1b7	U+240b
0x1b8	U+240c
0x1b9	U+240d
0x1ba	U+2424
0x1bb	U+25ae
0x1bc	
0x1bd	
0x1be	
0x1bf	
0x1c0	
0x1c1	
0x1c2	
0x1c3	
0x1c4	
0x1c5	
0x1c6	
0x1c7	
0x1c8	
0x1c9	
0x1ca	
0x1cb	
0x1cc	
0x1cd	
0x1ce	
0x1cf	
0x1d0	
0x1d1	
0x1d2	
0x1d3	
0x1d4	
0x1d5	
0x1d6	
0x1d7	
0x1d8	
0x1d9	
0x1da	
0x1db	
0x1dc	
0x1dd	
0x1de	
0x1df	
0x1e0	
0x1e1	
0x1e2	
0x1e3	
0x1e4	
0x1e5	
0x1e6	
0x1e7	
0x1e8	
0x1e9	
0x1ea	
0x1eb	
0x1ec	
0x1ed	
0x1ee	
0x1ef	
0x1f0	
0x1f1	
0x1f2	
0x1f3	
0x1f4	
0x1f5	
0x1f6	
0x1f7	
0x1f8	
0x1f9	
0x1fa	
0x1fb	
0x1fc	
0x1fd	
0x1fe	
0x1ff	
